boundary_definition,budget,method,method_label,run_count,mean_q20_error,mean_q20_accuracy,median_q20_accuracy,sd_q20_accuracy,q25_q20_accuracy,q75_q20_accuracy,ci95_q20_accuracy_lower,ci95_q20_accuracy_upper,mean_q30_error,mean_q30_accuracy,median_q30_accuracy,sd_q30_accuracy,q25_q30_accuracy,q75_q30_accuracy,ci95_q30_accuracy_lower,ci95_q30_accuracy_upper,mean_balanced_accuracy,median_balanced_accuracy,sd_balanced_accuracy,mean_sensitivity,median_sensitivity,sd_sensitivity,mean_specificity,median_specificity,sd_specificity,mean_global_error,median_global_error,sd_global_error,mean_brier_score,median_brier_score,sd_brier_score,mean_keyhole_discovered,sd_keyhole_discovered,mean_keyhole_enrichment,accuracy_exactly_one_minus_error
B1,40,max_depth_straddle,Max-Depth,20,0.220588235294,0.779411764706,0.764705882353,0.0806886224763,0.705882352941,0.823529411765,0.741648326953,0.817175202459,0.16,0.84,0.84,0.0648885684523,0.8,0.88,0.809631215152,0.870368784848,0.930552594172,0.928736189184,0.0391125031824,0.913095238095,0.897619047619,0.0844500896349,0.948009950249,0.94696969697,0.0290559631787,0.058024691358,0.0617283950617,0.0230444939379,0.0422492393474,0.0438595682865,0.0148797533846,10.55,1.50350467767,1.46353886616,True
B1,40,shared_random_binary_head,Random,20,0.232352941176,0.767647058824,0.794117647059,0.0884414516279,0.705882352941,0.823529411765,0.726255185337,0.80903893231,0.168,0.832,0.84,0.0669328021227,0.8,0.88,0.800674484345,0.863325515655,0.892680752084,0.897727272727,0.0484910484681,0.814047619048,0.857142857143,0.101032679561,0.97131388512,0.984848484848,0.0306842806861,0.0567901234568,0.0493827160494,0.0263874876608,0.0544504605111,0.0515659662077,0.016289260098,7.45,2.13923252347,1.03309322034,True
B1,50,binary_uncertainty_repulsion,Binary,20,0.170588235294,0.829411764706,0.852941176471,0.0913286456043,0.764705882353,0.882352941176,0.786668642844,0.872154886568,0.12,0.88,0.88,0.0635775531391,0.84,0.92,0.850244789206,0.909755210794,0.923540899399,0.929545454545,0.0470801787261,0.862142857143,0.866666666667,0.0944007677557,0.984938941655,0.984961555857,0.0146504242663,0.037037037037,0.037037037037,0.0196227015861,0.0351028492764,0.0342553012831,0.00794566841319,20.9,1.86095617754,2.31903331385,True
B1,50,max_depth_straddle,Max-Depth,20,0.2,0.8,0.823529411765,0.0724220013237,0.764705882353,0.823529411765,0.766105460039,0.833894539961,0.146,0.854,0.86,0.0584357496923,0.84,0.88,0.826651227294,0.881348772706,0.940584092524,0.942861988758,0.032887577717,0.927142857143,0.930952380952,0.0737565498314,0.954025327906,0.954545454545,0.0269875651063,0.0506172839506,0.0493827160494,0.0199872411352,0.038698873418,0.0370365888055,0.013396241338,12.75,1.74340863948,1.41501461134,True
B1,50,shared_random_binary_head,Random,20,0.226470588235,0.773529411765,0.764705882353,0.0900737268589,0.705882352941,0.823529411765,0.731373609955,0.815685213575,0.168,0.832,0.84,0.0740980857768,0.8,0.88,0.797321028368,0.866678971632,0.892415842864,0.888636363636,0.0502771194336,0.810476190476,0.8,0.102651330337,0.974355495251,0.984848484848,0.0265253571566,0.0549382716049,0.0493827160494,0.0251660032189,0.0491252882811,0.0454643015935,0.0135269000491,9.4,2.45806941789,1.04282174167,True
B1,60,binary_uncertainty_repulsion,Binary,20,0.164705882353,0.835294117647,0.823529411765,0.0844923348776,0.823529411765,0.882352941176,0.795750487692,0.874837747602,0.114,0.886,0.88,0.0584357496923,0.87,0.92,0.858651227294,0.913348772706,0.931354752213,0.933333333333,0.0461686561051,0.879285714286,0.866666666667,0.0937385072718,0.98342379014,0.984848484848,0.0128689041535,0.0351851851852,0.037037037037,0.0180357252137,0.0292442617293,0.0288422919898,0.00932049288233,24.65,1.72520021721,2.27921975453,True
B1,60,max_depth_straddle,Max-Depth,20,0.191176470588,0.808823529412,0.823529411765,0.0736067704518,0.764705882353,0.823529411765,0.77437450043,0.843272558393,0.138,0.862,0.88,0.060140187107,0.84,0.88,0.833853526029,0.890146473971,0.953636040576,0.955740776636,0.0245932054094,0.954761904762,0.966666666667,0.0520151271983,0.952510176391,0.954545454545,0.0250517999532,0.0469135802469,0.0493827160494,0.0194584919914,0.0372619731192,0.035176418377,0.0107907361928,15.55,1.46808145479,1.43789596727,True
B1,60,shared_random_binary_head,Random,20,0.214705882353,0.785294117647,0.794117647059,0.0900737268589,0.75,0.823529411765,0.743138315837,0.827449919457,0.158,0.842,0.86,0.0750859157022,0.83,0.88,0.806858709732,0.877141290268,0.891478968792,0.892424242424,0.058343953576,0.803333333333,0.8,0.118943312701,0.979624604251,0.984848484848,0.0242089172344,0.0518518518519,0.0493827160494,0.0258344871003,0.044592218745,0.0408470201767,0.0111459586188,10.85,2.60111312205,1.00291350088,True
B1,70,binary_uncertainty_repulsion,Binary,20,0.170588235294,0.829411764706,0.823529411765,0.085136504316,0.808823529412,0.882352941176,0.789566654174,0.869256875238,0.12,0.88,0.88,0.0580381000088,0.84,0.92,0.852837333075,0.907162666925,0.927404535763,0.925757575758,0.0468358816954,0.872142857143,0.866666666667,0.095216476243,0.982666214383,0.984848484848,0.0122739471394,0.037037037037,0.037037037037,0.0179129938299,0.0285263921171,0.0277402335285,0.0100991181219,27.1,2.12503869934,2.14798447023,True
B1,70,max_depth_straddle,Max-Depth,20,0.182352941176,0.817647058824,0.823529411765,0.080745028371,0.764705882353,0.882352941176,0.779857222299,0.855436895348,0.132,0.868,0.88,0.0637098686894,0.84,0.92,0.838182863622,0.897817136378,0.95591959036,0.956818181818,0.0239047981356,0.958571428571,0.966666666667,0.047041611744,0.953267752148,0.954545454545,0.0233592974078,0.0456790123457,0.0493827160494,0.0192512603972,0.0354298114253,0.0341027346371,0.0118635057884,17.2,1.47255595908,1.36314269016,True
B1,70,shared_random_binary_head,Random,20,0.202941176471,0.797058823529,0.823529411765,0.0700573431125,0.75,0.823529411765,0.764270977677,0.829846669382,0.148,0.852,0.88,0.052072823501,0.8,0.88,0.827629168419,0.876370831581,0.896202752471,0.914393939394,0.0556859524111,0.809761904762,0.857142857143,0.117188236213,0.982643600181,0.984848484848,0.0149343647107,0.0481481481481,0.0493827160494,0.0183116012027,0.0415922670173,0.0392928002824,0.00949145061903,12.15,2.27746396355,0.962775319362,True
B1,80,binary_uncertainty_repulsion,Binary,20,0.176470588235,0.823529411765,0.823529411765,0.0895159894415,0.764705882353,0.882352941176,0.781634639101,0.865424184428,0.122,0.878,0.88,0.0615244923416,0.84,0.92,0.849205651236,0.906794348764,0.925624475027,0.929545454545,0.0481529251826,0.868571428571,0.866666666667,0.0971290962783,0.982677521483,0.984848484848,0.0131967198974,0.0376543209877,0.037037037037,0.0189890408462,0.0283258496716,0.0267785925059,0.00993470495649,29,1.74717817607,2.01103448276,True
B1,80,max_depth_straddle,Max-Depth,20,0.188235294118,0.811764705882,0.823529411765,0.0800655349857,0.764705882353,0.882352941176,0.774292882051,0.849236529713,0.136,0.864,0.88,0.0627778036537,0.84,0.89,0.834619083487,0.893380916513,0.953874135814,0.956818181818,0.0277579227555,0.955238095238,0.966666666667,0.0554984788555,0.952510176391,0.954545454545,0.0235605049413,0.0469135802469,0.0493827160494,0.0198664712009,0.0361292089986,0.0356392883198,0.0125516247104,18.3,1.78000591365,1.26932349503,True
B1,80,shared_random_binary_head,Random,20,0.211764705882,0.788235294118,0.764705882353,0.0698621062914,0.705882352941,0.838235294118,0.75553882191,0.820931766325,0.152,0.848,0.84,0.0495877743846,0.8,0.88,0.824792207206,0.871207792794,0.896874717322,0.908394714738,0.0492705415098,0.813333333333,0.857142857143,0.105461324388,0.980416101312,0.984848484848,0.0176818124963,0.0493827160494,0.0493827160494,0.0169937580645,0.0395500670882,0.036220648405,0.00954723409756,13.95,2.37254027751,0.967467124489,True
