benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_classifier_uncertainty_region_fraction_eps010,std_final_classifier_uncertainty_region_fraction_eps010,mean_final_classifier_uncertainty_region_fraction_q20_eps010,std_final_classifier_uncertainty_region_fraction_q20_eps010,mean_final_classifier_uncertainty_region_fraction_q30_eps010,std_final_classifier_uncertainty_region_fraction_q30_eps010,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_fit_time_seconds,mean_learned_constant,mean_learned_length_scale_mean,length_scale_bound_hit_fraction,constant_bound_hit_fraction,rank_global_error,rank_near_boundary_error_q10,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance
branin,Thresholded Branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,50,5,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312,11.728456,8.267937,3.741514,15.421556,0.318182,0.540909,0.690909,0.003175,1.000000,0.250000,0.000000,0.000000,14,10,10,11,1
branin,Thresholded Branin,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,50,5,0.081350,0.021898,0.396500,0.031883,0.289750,0.013191,0.211833,0.015531,0.456550,0.014158,0.870000,0.045675,0.791500,0.023354,21.488903,12.538246,5.791464,22.120136,0.200000,0.381818,0.490909,0.002709,1.000000,0.250000,0.000000,0.000000,10,14,12,10,12
branin,Thresholded Branin,fixed_iso_gpc,classifier_margin,classifier_margin,50,5,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312,11.728456,8.267937,3.741514,15.421556,0.318182,0.540909,0.690909,0.003059,1.000000,0.250000,0.000000,0.000000,15,11,11,12,2
branin,Thresholded Branin,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,50,5,0.080400,0.024679,0.368500,0.043116,0.261000,0.030948,0.197833,0.023355,0.429200,0.048691,0.839500,0.046129,0.763833,0.041145,19.212414,11.259768,5.110234,21.976879,0.250000,0.427273,0.531818,0.002481,1.000000,0.250000,0.000000,0.000000,8,9,9,9,10
branin,Thresholded Branin,fixed_iso_gpc,random,random,50,5,0.145600,0.040813,0.409000,0.021714,0.330000,0.018990,0.274333,0.020726,0.247400,0.062854,0.454750,0.125702,0.407167,0.113321,37.533314,20.982685,10.479315,48.955405,0.095455,0.200000,0.300000,0.002714,1.000000,0.250000,0.000000,0.000000,13,15,15,15,13
branin,Thresholded Branin,optimized_ard_gpc,classifier_entropy,classifier_entropy,50,5,0.080850,0.047338,0.336000,0.047948,0.230250,0.057692,0.174667,0.048793,0.251550,0.301993,0.444750,0.226211,0.374333,0.258959,18.353026,8.292484,3.160601,17.186543,0.336364,0.536364,0.631818,0.079310,9.088404,0.268408,0.586667,0.964444,9,7,8,8,3
branin,Thresholded Branin,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,50,5,0.035150,0.005985,0.282500,0.050324,0.163750,0.029580,0.114333,0.018933,0.098950,0.008094,0.430250,0.038417,0.307167,0.024316,25.770395,10.496219,4.714819,22.222360,0.259091,0.445455,0.554545,0.085873,8.845451,0.403203,0.520000,0.871111,1,1,1,1,7
branin,Thresholded Branin,optimized_ard_gpc,classifier_margin,classifier_margin,50,5,0.079050,0.048861,0.322500,0.059393,0.224500,0.063209,0.170667,0.053311,0.256400,0.299439,0.452250,0.223216,0.379833,0.256451,17.552339,8.422237,2.912607,17.968258,0.336364,0.527273,0.613636,0.080455,9.061900,0.262027,0.666667,0.928889,7,6,6,7,4
branin,Thresholded Branin,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,50,5,0.035250,0.003045,0.300500,0.023152,0.170250,0.012733,0.116500,0.009724,0.097700,0.003311,0.431000,0.017578,0.309167,0.015065,24.354038,10.859375,4.623359,22.213160,0.268182,0.445455,0.550000,0.082642,8.929571,0.387549,0.515556,0.911111,2,3,2,2,8
branin,Thresholded Branin,optimized_ard_gpc,random,random,50,5,0.105200,0.033376,0.387500,0.015811,0.294750,0.019959,0.234833,0.026047,0.108550,0.013808,0.256750,0.041568,0.210167,0.039869,37.533314,20.982685,10.479315,48.955405,0.095455,0.200000,0.300000,0.071241,9.536724,0.299434,0.400000,0.902222,11,13,14,14,14
