simulation_id,numeric_simulation_id,P,VX,LS,ST,LS_source_m,LS_definition,feature_units,T0_melt_pool_width_um,T0_penetration_depth_um,T0_melt_pool_kinetic_energy_nJ,adaptive_melt_pool_kinetic_energy_nJ,T0_total_vertical_height_um,adaptive_total_vertical_height_um,T0_observation_count,adaptive_observation_count,T0_definition,adaptive_definition,kinetic_source_unit,kinetic_report_unit,total_height_internal_unit,total_height_report_unit,kinetic_invalid_row_count,phase1_unstable_depth_window,huggingface_revision
sim_00001,1,101.127472137,0.52394730996,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",126.26144,50.71019,1.011336,0.8766725,74.86579499999999,68.68969649076462,13744,58181,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00002,2,104.101541641,0.916529700054,88.2882842693,394.968412652,8.82882842693e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",126.32872499999999,26.660185000000002,0.8618125999999999,0.7885912,92.05557,47.76539935846813,10906,55785,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00003,3,105.276295276,0.639039009111,76.636834293,367.44858305,7.6636834293e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",127.94122499989999,34.838855,0.75972415,0.6366313,62.37197500000001,50.42160046286881,10732,45027,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00004,4,107.176159755,0.320752066655,87.53022815839999,393.859643937,8.75302281584e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",203.32255,46.715575,0.9966778000000001,0.6835112,72.460095,59.58322071819566,17286,69259,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00005,5,109.759946449,0.241926176876,45.0,300.0,4.5e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",166.993245,66.61901499999999,1.0319310000000002,0.9079853999999999,84.0996,72.53661169670522,13746,45945,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00006,6,110.234671953,0.866589137882,80.8580037422,348.980680204,8.08580037422e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",128.06481,26.879504999999998,0.93027975,0.8490438,53.52373000000001,51.17147884448059,11594,59297,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00007,7,110.642328299,0.274154737479,74.67660010499999,358.612942181,7.4676600105e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",202.28875,50.78583,1.1239715,0.7938661,69.703175,56.94721949112136,16368,61750,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00008,8,112.428225508,0.704865651228,63.098739270399996,309.241492678,6.30987392704e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",133.3735999999,38.68263,0.8448474,0.82838455,63.44792,59.33679494773969,14311,73196,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00009,9,112.904894498,0.537693260466,46.3068354409,322.169166627,4.63068354409e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",127.16849,54.58924,0.9881444,0.8190567000000001,73.34996,63.74240183504298,10176,40629,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00010,10,113.286681534,0.56768277259,58.0401726566,302.148970527,5.80401726566e-05,laser spot radius,"{""LS"":""um"",""P"":""W"",""ST"":""K"",""VX"":""m/s""}",133.94807,46.822900000000004,0.93128485,0.7380468,67.953605,60.39041909389198,10404,42311,median over final 20% of melt-present observations before 90% positive-X domain cutoff,median over Phase 3.5 adaptive active-interior interval,J,nJ,m,um,0,False,0e859b748fdbc8454f66e58e101e333ac0479d42
