experiment_name,partition,week6_simulation_id,monitor_file,sph_v2_relative_path,remote_exists,remote_size_bytes,remote_git_blob_id,local_path,source_mode,local_git_blob_id,local_blob_matches_pinned_sph_v2,exact_revision
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,,iter.dat,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/monitor/iter.dat,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\iter.dat,pinned_sph_v2_download,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,,kinetic-energy_melt.dat,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/monitor/kinetic-energy_melt.dat,True,1502800.0,3e17cd9dc741221c4ddf019e17ff4d69800ead60,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\kinetic-energy_melt.dat,pinned_sph_v2_download,3e17cd9dc741221c4ddf019e17ff4d69800ead60,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,,position-bounds_melt.dat,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/monitor/position-bounds_melt.dat,True,9260263.0,63006e054236992f87186f0480cd9afc889ef220,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\position-bounds_melt.dat,pinned_sph_v2_download,63006e054236992f87186f0480cd9afc889ef220,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,,time.dat,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/monitor/time.dat,True,1502800.0,0229496c1e473d714d2329877cfb90ea07384d93,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\time.dat,pinned_sph_v2_download,0229496c1e473d714d2329877cfb90ea07384d93,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,,iter.dat,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/monitor/iter.dat,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\iter.dat,pinned_sph_v2_download,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,,kinetic-energy_melt.dat,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/monitor/kinetic-energy_melt.dat,True,1502800.0,50a9055d1ee6c0072b42944cae54bb1be91bd4a1,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\kinetic-energy_melt.dat,pinned_sph_v2_download,50a9055d1ee6c0072b42944cae54bb1be91bd4a1,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,,position-bounds_melt.dat,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/monitor/position-bounds_melt.dat,True,9277082.0,78715c739cfb2a5b81b7ffc0ce973718f425a6b9,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\position-bounds_melt.dat,pinned_sph_v2_download,78715c739cfb2a5b81b7ffc0ce973718f425a6b9,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,,time.dat,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/monitor/time.dat,True,1502800.0,0229496c1e473d714d2329877cfb90ea07384d93,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\time.dat,pinned_sph_v2_download,0229496c1e473d714d2329877cfb90ea07384d93,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,,iter.dat,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/monitor/iter.dat,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780\monitor\iter.dat,pinned_sph_v2_download,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,d69dac5bda8b622bc0de316b112815c6056c06ec
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,,kinetic-energy_melt.dat,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/monitor/kinetic-energy_melt.dat,True,1502800.0,6460c6842176508a2e169df97013440c9a91d39b,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780\monitor\kinetic-energy_melt.dat,pinned_sph_v2_download,6460c6842176508a2e169df97013440c9a91d39b,True,d69dac5bda8b622bc0de316b112815c6056c06ec
