simulation_id,numeric_simulation_id,P,VX,LS,ST,target_value_um,target_definition,target,target_label,target_unit,partition,dataset_revision,eligibility_source_fields,flag_primary_window_unstable_week6_rule
P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,255.66284442,0.61175678634,83.85481510219999,392.782565278,74.73689999999999,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,279.19481345,0.961152667742,78.4955743249,372.579911887,62.69445,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,328.176471421,0.746856862244,57.8341655667,308.284457774,81.858095,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,363.673556898,0.448546579177,40.4529881073,391.93586396,298.89750000000004,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,383.924442814,0.598551929363,43.4843261877,301.171019532,182.7688,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,11,420.548248194,0.890019823061,42.728397196,342.58191385,86.40669,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,12,449.762375807,0.721910835583,40.2949716673,312.266645761,172.24105000000003,T0,depth,T0 penetration depth,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,1,102.928146519,0.633805217924,52.939436669900005,318.223787128,61.817415,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,2,131.192514944,0.432823544687,67.22366832659999,324.578264519,84.369,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,3,164.607131174,0.867199563125,53.2762751968,314.058214573,73.716115,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,4,207.432942583,0.674802143379,57.4396795379,382.34582068,91.95544,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,5,231.081894821,0.850370876493,55.190986405,302.777484886,86.97557499999999,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,255.66284442,0.61175678634,83.85481510219999,392.782565278,105.80471500000002,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,279.19481345,0.961152667742,78.4955743249,372.579911887,92.06612,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,328.176471421,0.746856862244,57.8341655667,308.284457774,105.98578,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,363.673556898,0.448546579177,40.4529881073,391.93586396,317.11514,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,383.924442814,0.598551929363,43.4843261877,301.171019532,198.45921,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,11,420.548248194,0.890019823061,42.728397196,342.58191385,104.27646,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,12,449.762375807,0.721910835583,40.2949716673,312.266645761,188.563715,T0,total_height,T0 total vertical melt-pool height,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,1,102.928146519,0.633805217924,52.939436669900005,318.223787128,0.7339642,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,2,131.192514944,0.432823544687,67.22366832659999,324.578264519,1.291556,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,3,164.607131174,0.867199563125,53.2762751968,314.058214573,1.5768185,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,4,207.432942583,0.674802143379,57.4396795379,382.34582068,2.1700615,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,5,231.081894821,0.850370876493,55.190986405,302.777484886,2.533465,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,255.66284442,0.61175678634,83.85481510219999,392.782565278,3.210667,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,279.19481345,0.961152667742,78.4955743249,372.579911887,3.848077,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,328.176471421,0.746856862244,57.8341655667,308.284457774,4.1574395,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,363.673556898,0.448546579177,40.4529881073,391.93586396,6.751311,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,383.924442814,0.598551929363,43.4843261877,301.171019532,4.73173,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,11,420.548248194,0.890019823061,42.728397196,342.58191385,4.227087,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,12,449.762375807,0.721910835583,40.2949716673,312.266645761,5.9967915000000005,T0,kinetic_energy,T0 melt kinetic energy,nJ,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""kinetic_energy_monitor_available"",""kinetic_energy_parse_ok"",""kinetic_energy_target_ready"",""physical_target_extraction_success""]",False
