benchmark_population,run_id,repeat,fold,role,partition,row_count,keyhole_count,non_keyhole_count,keyhole_fraction
primary_common,primary_common__r01_f01,1,1,training_pool,new-data,129,49,80,0.3798449612403101
primary_common,primary_common__r01_f01,1,1,training_pool,old-data-local,140,7,133,0.05
primary_common,primary_common__r01_f01,1,1,training_pool,old-data-remote-clean,55,2,53,0.03636363636363636
primary_common,primary_common__r01_f01,1,1,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r01_f01,1,1,untouched_test,new-data,35,14,21,0.4
primary_common,primary_common__r01_f01,1,1,untouched_test,old-data-local,38,1,37,0.02631578947368421
primary_common,primary_common__r01_f01,1,1,untouched_test,old-data-remote-clean,8,0,8,0.0
primary_common,primary_common__r01_f01,1,1,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r01_f02,1,2,training_pool,new-data,135,51,84,0.37777777777777777
primary_common,primary_common__r01_f02,1,2,training_pool,old-data-local,137,6,131,0.043795620437956206
primary_common,primary_common__r01_f02,1,2,training_pool,old-data-remote-clean,52,1,51,0.019230769230769232
primary_common,primary_common__r01_f02,1,2,training_pool,all,324,58,266,0.17901234567901234
primary_common,primary_common__r01_f02,1,2,untouched_test,new-data,29,12,17,0.41379310344827586
primary_common,primary_common__r01_f02,1,2,untouched_test,old-data-local,41,2,39,0.04878048780487805
primary_common,primary_common__r01_f02,1,2,untouched_test,old-data-remote-clean,11,1,10,0.09090909090909091
primary_common,primary_common__r01_f02,1,2,untouched_test,all,81,15,66,0.18518518518518517
primary_common,primary_common__r01_f03,1,3,training_pool,new-data,132,49,83,0.3712121212121212
primary_common,primary_common__r01_f03,1,3,training_pool,old-data-local,140,8,132,0.05714285714285714
primary_common,primary_common__r01_f03,1,3,training_pool,old-data-remote-clean,52,2,50,0.038461538461538464
primary_common,primary_common__r01_f03,1,3,training_pool,all,324,59,265,0.18209876543209877
primary_common,primary_common__r01_f03,1,3,untouched_test,new-data,32,14,18,0.4375
